Category name,Question,Answer,Similar questions
,,,
,,,
,Question,,
,,,
Installation,Is it possible to use scikit-image in anaconda?,"Yes, scikit-image is included in the standard anaconda distribution",
PyImageJ,Can we use jupyter for imageJ macro scripting?,"Yes, as ImageJ has a python interface. This will be briefly covered in the sessions",
Jupyter,"Can jupyter show the list of variable and function defined by the user, like other IDE do (Matlab, Spider)?",Jupyter has an extension for this: https://jupyter-contrib-nbextensions.readthedocs.io/en/latest/nbextensions/varInspector/README.html. Jupyterlab also has such an extension: https://github.com/lckr/jupyterlab-variableInspector,Is there a quick way to know what's the variable states (as in matlab for example)?
Applications,On specific 2D and 3D functions - 1) Fourier transform 2) skeletonizing 3) distance maps 4) Voronoi tessellation 5) triangulation 6) graph theory; is it all well compatible? Thanks!,"There are libraries awailabe in python to perform these operations. Some of them are directly implemented in scitkit-image (e.g. skeletonize), several others in the scipy package (e.g. distance transform https://docs.scipy.org/doc/scipy-0.14.0/reference/generated/scipy.ndimage.morphology.distance_transform_edt.html). Specific functions for graph theory are available in the Networkx package (https://networkx.github.io/). Also some operations are available directly from the ImageJ python API, which will be presented in the course",
Jupyter,"Can I also execute code other than python, such as shell script, in the notebook?","You can execute any shell command, if you start the line with exclamation mark: !ls. You can also run an entire cell as shell commands if the first line is e.g. %%bash. Alternatively any process can be started using python methods for spawning a process",
Python,"Are there any unique advantages to using python over other programming languages, such as Java?","There are many reasons to use the one or the other programming language. Python might not produce the fastest code, but Python has several advantages to other languages. One of the main reasons to use it is the big community. There are so many open source packages, people that might have run into the same problem as you (so there might be help online already). Also Python is considered to have a relatively intuitive syntax. But if you work in an institution where everyone uses a e.g. Java, it might make more sense to go for that, because you can get help more easily, locally.",
General,Is Jupyter better than Spyder? What are the main differences?,Not enough experience with Spyder to properly answer.,
General,"What would be your suggestion as folder root and structure ? I see you are using Onedrive. Is this OK when you switch from laptop to desktop, from work to home, etc... I had actually a hard time setting up Jupyter if I have files at several places.","The installed modules and their versions might differ on different systems, but you can setup environments with required modules and versions to keep environment same. In terms of python files themselves, it's rather matter of taste. But it's always a good idea to use a version controll such a s git",
Jupyter,How can I get the kernels in different conda environments displayed in the jupyter notebook?,You can switch kernels and have them displayed as options following these instructions: https://ipython.readthedocs.io/en/latest/install/kernel_install.html#kernels-for-different-environments,
Installation,Can you please provide more details about deploying a Jupyter instance on a server/cluster?,"This goes a bit beyond the course scope. A good starting point can be found here: https://jupyter-docker-stacks.readthedocs.io/en/latest/. If you only wish to run Jupyter for yourself on a cluster, you can just install it from the command line via conda for example.",
Jupyter,"Somehow this should be super easy, but I cannot find it: how can you change to another hard disk with Jupyter Notebooks?",There is a configuration file in your user directory (under Windows: C:\Users\username\.jupyter) called jupyter_notebook_config.py where you can define the base directory for Jupyter using the variable c.NotebookApp.notebook_dir,
Jupyter,Hello. Are there any advantages for jupyter notebook over google colabs?,"For the present course: the Jupyter solution on Binder is completely ""installation-free"", no login, to packages to install, no data to download. This comes at the price of shorter sessions and less computing power. In general: you can't install colab on your computer or on a cluster, so you are limited by what Google is offering you.",
Binder,Is there an online jupyter to avoid local installation?,"Yes, there is binder. You can follow the complete course there.",
